epoch0g step in cur epoch 0losstf.Tensor(0.48853737, shape=(), dtype=float32)
epoch0g step in cur epoch 1losstf.Tensor(0.3118636, shape=(), dtype=float32)
epoch0g step in cur epoch 2losstf.Tensor(0.6296195, shape=(), dtype=float32)
epoch0g step in cur epoch 3losstf.Tensor(0.4936783, shape=(), dtype=float32)
epoch0g step in cur epoch 4losstf.Tensor(0.5152474, shape=(), dtype=float32)
epoch0g step in cur epoch 5losstf.Tensor(0.33765763, shape=(), dtype=float32)
epoch0g step in cur epoch 6losstf.Tensor(0.77603644, shape=(), dtype=float32)
epoch0g step in cur epoch 7losstf.Tensor(0.4480731, shape=(), dtype=float32)
epoch0g step in cur epoch 8losstf.Tensor(0.5199281, shape=(), dtype=float32)
epoch0g step in cur epoch 9losstf.Tensor(0.6400493, shape=(), dtype=float32)
epoch0g step in cur epoch 10losstf.Tensor(0.3974442, shape=(), dtype=float32)
epoch0g step in cur epoch 11losstf.Tensor(0.68659085, shape=(), dtype=float32)
epoch0g step in cur epoch 12losstf.Tensor(0.4473915, shape=(), dtype=float32)
epoch0g step in cur epoch 13losstf.Tensor(0.48059177, shape=(), dtype=float32)
epoch0g step in cur epoch 14losstf.Tensor(0.9730373, shape=(), dtype=float32)
epoch0g step in cur epoch 15losstf.Tensor(0.9835979, shape=(), dtype=float32)
epoch0g step in cur epoch 16losstf.Tensor(0.95629865, shape=(), dtype=float32)
epoch0g step in cur epoch 17losstf.Tensor(0.9320211, shape=(), dtype=float32)
epoch0g step in cur epoch 18losstf.Tensor(0.9413683, shape=(), dtype=float32)
epoch0g step in cur epoch 19losstf.Tensor(1.1771712, shape=(), dtype=float32)
epoch0g step in cur epoch 20losstf.Tensor(1.006104, shape=(), dtype=float32)
epoch0g step in cur epoch 21losstf.Tensor(1.0516801, shape=(), dtype=float32)
epoch0g step in cur epoch 22losstf.Tensor(1.0674875, shape=(), dtype=float32)
epoch0g step in cur epoch 23losstf.Tensor(0.9929234, shape=(), dtype=float32)
epoch0g step in cur epoch 24losstf.Tensor(0.9087433, shape=(), dtype=float32)
avg loss=tf.Tensor(0.72652566, shape=(), dtype=float32)
epoch1g step in cur epoch 0losstf.Tensor(0.38793886, shape=(), dtype=float32)
epoch1g step in cur epoch 1losstf.Tensor(0.5284169, shape=(), dtype=float32)
epoch1g step in cur epoch 2losstf.Tensor(0.5319973, shape=(), dtype=float32)
epoch1g step in cur epoch 3losstf.Tensor(0.4733492, shape=(), dtype=float32)
epoch1g step in cur epoch 4losstf.Tensor(1.1978676, shape=(), dtype=float32)
epoch1g step in cur epoch 5losstf.Tensor(1.0450338, shape=(), dtype=float32)
epoch1g step in cur epoch 6losstf.Tensor(0.90899867, shape=(), dtype=float32)
epoch1g step in cur epoch 7losstf.Tensor(1.1264153, shape=(), dtype=float32)
epoch1g step in cur epoch 8losstf.Tensor(0.8855341, shape=(), dtype=float32)
epoch1g step in cur epoch 9losstf.Tensor(1.0651095, shape=(), dtype=float32)
epoch1g step in cur epoch 10losstf.Tensor(1.0167215, shape=(), dtype=float32)
epoch1g step in cur epoch 11losstf.Tensor(1.0050899, shape=(), dtype=float32)
epoch1g step in cur epoch 12losstf.Tensor(1.0784006, shape=(), dtype=float32)
epoch1g step in cur epoch 13losstf.Tensor(0.98933136, shape=(), dtype=float32)
epoch1g step in cur epoch 14losstf.Tensor(0.9887494, shape=(), dtype=float32)
epoch1g step in cur epoch 15losstf.Tensor(1.0748101, shape=(), dtype=float32)
